,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,mobility_similarity,social_similarity
Topic_0,"register
(0.0127)","backstop
(0.0110)","jurisdiction
(0.0102)","levy
(0.0096)","adaptation
(0.0073)","distributor
(0.0071)","pension
(0.0058)","disclosure
(0.0049)","output
(0.0044)","person
(0.0039)",-0.058809053152799606,-0.12932442128658295
Topic_1,"ipcc
(0.0151)","soil
(0.0119)","uncertainty
(0.0111)","category
(0.0102)","combustion
(0.0086)","statistics
(0.0064)","crop
(0.0057)","conversion
(0.0056)","manure
(0.0056)","solid
(0.0055)",-0.16484010219573975,-0.06310833990573883
Topic_2,"round
(0.0092)","firm
(0.0089)","assurance
(0.0072)","protocol
(0.0058)","mine
(0.0057)","kyoto
(0.0051)","domestic
(0.0046)","uncertainty
(0.0034)","abatement
(0.0034)","scenario
(0.0034)",-0.3034600615501404,-0.2831229269504547
Topic_3,"firm
(0.0089)","export
(0.0054)","household
(0.0044)","indigenous
(0.0042)","online
(0.0036)","countries
(0.0033)","output
(0.0033)","country
(0.0029)","mine
(0.0029)","domestic
(0.0029)",-0.2419012188911438,0.06330054998397827
Topic_4,"category
(0.0101)","uncertainty
(0.0075)","ipcc
(0.0070)","adaptation
(0.0060)","mine
(0.0057)","tier
(0.0044)","conversion
(0.0042)","chapter
(0.0041)","soil
(0.0040)","guidelines
(0.0036)",-0.19074024260044098,-0.03454037755727768
Topic_5,"adaptation
(0.0252)","chapter
(0.0058)","flood
(0.0053)","northern
(0.0053)","species
(0.0050)","coastal
(0.0047)","regions
(0.0047)","arctic
(0.0046)","resilience
(0.0046)","warm
(0.0045)",-0.07405058294534683,0.2551079988479614
Topic_6,"category
(0.0125)","adaptation
(0.0101)","ipcc
(0.0080)","uncertainty
(0.0079)","soil
(0.0051)","mine
(0.0044)","tier
(0.0041)","crop
(0.0037)","species
(0.0037)","flood
(0.0036)",-0.270464152097702,0.05689319968223572
Topic_7,"person
(0.0291)","combustible
(0.0145)","subsection
(0.0085)","article
(0.0083)","payable
(0.0081)","prescribe
(0.0071)","declaration
(0.0065)","register
(0.0062)","moment
(0.0054)","etre
(0.0049)",-0.039925456047058105,-0.22805631160736084
Topic_8,"adaptation
(0.0068)","indigenous
(0.0049)","domestic
(0.0045)","coal
(0.0045)","remote
(0.0042)","option
(0.0041)","northern
(0.0040)","emit
(0.0035)","cent
(0.0035)","scenario
(0.0034)",0.021322160959243774,-0.1463673710823059
Topic_9,"territories
(0.0065)","cent
(0.0065)","recycle
(0.0057)","coal
(0.0049)","tax
(0.0047)","firm
(0.0043)","sand
(0.0042)","scenario
(0.0040)","revenues
(0.0039)","emit
(0.0038)",-0.14655207097530365,-0.3064010739326477
