,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,mobility_similarity,social_similarity
Topic_0,"recipient
(0.0120)","fleet
(0.0105)","safety
(0.0082)","expenditures
(0.0066)","request
(0.0053)","delivery
(0.0053)","communications
(0.0053)","survey
(0.0052)","contract
(0.0045)","replacement
(0.0045)",0.2228889912366867,0.023108532652258873
Topic_1,"volume
(0.0126)","satisfy
(0.0086)","citizen
(0.0061)","cities
(0.0057)","measurements
(0.0055)","soil
(0.0053)","description
(0.0051)","satisfaction
(0.0049)","solar
(0.0047)","statistics
(0.0046)",0.0482325479388237,0.21705655753612518
Topic_2,"greenest
(0.0104)","neighbourhood
(0.0061)","safety
(0.0052)","landscape
(0.0044)","recreation
(0.0043)","volume
(0.0043)","cities
(0.0040)","recycle
(0.0040)","street
(0.0039)","footprint
(0.0039)",0.43385809659957886,0.5759786367416382
Topic_3,"survey
(0.0270)","trip
(0.0247)","panel
(0.0229)","mode
(0.0133)","walk
(0.0091)","sample
(0.0088)","zone
(0.0082)","exhibit
(0.0073)","bike
(0.0068)","diary
(0.0050)",0.5483231544494629,0.015464655123651028
Topic_4,"bus
(0.0197)","greenest
(0.0074)","diesel
(0.0068)","cent
(0.0058)","tree
(0.0050)","fleet
(0.0041)","cities
(0.0041)","customer
(0.0038)","battery
(0.0035)","walk
(0.0031)",0.5410953164100647,-0.09820813685655594
Topic_5,"word
(0.0162)","delete
(0.0075)","amend
(0.0069)","adaptation
(0.0063)","wastewater
(0.0050)","master
(0.0047)","amendment
(0.0043)","cities
(0.0042)","flood
(0.0040)","zone
(0.0040)",0.09498649835586548,-0.04276231303811073
Topic_6,"pedestrian
(0.0155)","bicycle
(0.0148)","walk
(0.0126)","street
(0.0116)","streets
(0.0086)","traffic
(0.0074)","safety
(0.0069)","trip
(0.0065)","neighbourhood
(0.0061)","rout
(0.0056)",0.8011903762817383,0.2603180408477783
Topic_7,"greenest
(0.0114)","downtown
(0.0110)","neighbourhood
(0.0049)","safety
(0.0047)","street
(0.0046)","cent
(0.0042)","survey
(0.0041)","reserve
(0.0040)","pedestrian
(0.0040)","metro
(0.0038)",0.6542462110519409,0.3004601299762726
Topic_8,"downtown
(0.0108)","landscape
(0.0049)","recreation
(0.0049)","street
(0.0046)","cultural
(0.0045)","river
(0.0039)","neighbourhoods
(0.0037)","cities
(0.0037)","healthy
(0.0035)","neighbourhood
(0.0034)",0.39157557487487793,0.523373544216156
Topic_9,"request
(0.0049)","cent
(0.0048)","estate
(0.0047)","neighbourhoods
(0.0047)","lease
(0.0045)","solar
(0.0045)","reserve
(0.0040)","recreation
(0.0037)","healthy
(0.0036)","safety
(0.0036)",0.36575841903686523,0.45830777287483215
