,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,mobility_similarity,social_similarity
Topic_0,"establishment
(0.0296)","equation
(0.0203)","metric
(0.0162)","quantity
(0.0122)","calculate
(0.0115)","calculation
(0.0103)","reference
(0.0091)","destruction
(0.0091)","attributable
(0.0089)","emitter
(0.0081)",-0.20924030244350433,-0.36086305975914
Topic_1,"cent
(0.0295)","fiscal
(0.0191)","debt
(0.0138)","care
(0.0085)","ministry
(0.0077)","sales
(0.0072)","outlook
(0.0062)","school
(0.0060)","child
(0.0057)","transfer
(0.0056)",0.07218823581933975,0.2547062337398529
Topic_2,"disabilities
(0.0062)","recycle
(0.0053)","person
(0.0047)","protocol
(0.0047)","verification
(0.0046)","baseline
(0.0044)","body
(0.0040)","calculate
(0.0039)","applicable
(0.0039)","accessibility
(0.0038)",0.03444276005029678,-0.04316261038184166
Topic_3,"percent
(0.0098)","allowance
(0.0057)","paper
(0.0046)","procurement
(0.0045)","ministry
(0.0041)","cent
(0.0040)","buy
(0.0038)","wood
(0.0038)","regulate
(0.0036)","environmentally
(0.0035)",-0.06580743193626404,-0.1791471689939499
Topic_4,"allowance
(0.0285)","auction
(0.0204)","entity
(0.0172)","guarantee
(0.0100)","person
(0.0081)","bid
(0.0077)","cent
(0.0075)","submit
(0.0072)","entities
(0.0052)","california
(0.0049)",-0.062088292092084885,-0.228474423289299
Topic_5,"adaptation
(0.0120)","cent
(0.0084)","flood
(0.0050)","hydro
(0.0046)","biomass
(0.0045)","farm
(0.0036)","coal
(0.0036)","resilience
(0.0032)","solar
(0.0032)","agricultural
(0.0032)",-0.22551676630973816,-0.05972014367580414
Topic_6,"abatement
(0.0107)","precipitation
(0.0085)","scenarios
(0.0071)","cent
(0.0062)","scenario
(0.0061)","days
(0.0052)","cims
(0.0051)","output
(0.0047)","reference
(0.0047)","daily
(0.0044)",-0.016843365505337715,-0.2550099492073059
Topic_7,"person
(0.0419)","director
(0.0262)","subsection
(0.0231)","levy
(0.0134)","prescribe
(0.0106)","register
(0.0098)","certificate
(0.0096)","specify
(0.0092)","collector
(0.0089)","notice
(0.0085)",-0.016824426129460335,-0.1409902721643448
Topic_8,"person
(0.0176)","prescribe
(0.0132)","shall
(0.0123)","subsection
(0.0085)","establishment
(0.0081)","calculate
(0.0052)","metric
(0.0049)","governor
(0.0049)","accordance
(0.0049)","reference
(0.0046)",-0.1199062392115593,-0.21544496715068817
Topic_9,"hear
(0.0105)","speaker
(0.0075)","tax
(0.0069)","panel
(0.0062)","cent
(0.0053)","money
(0.0046)","emitters
(0.0042)","premier
(0.0042)","regulate
(0.0039)","coal
(0.0036)",0.0007739952998235822,-0.09161105006933212
