,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9
0,ipcc,category,uncertainty,combustion,tier,conversion,crop,manure,cropland,organic
1,indigenous,remote,canadaos,indicator,hazard,chapter,territorial,coastal,disaster,emergency
2,nrtee,species,temperature,arctic,temperatures,precipitation,coastal,storm,vulnerability,chapter
3,nrtee,kyoto,protocol,canadaos,obligations,kpia,assumptions,uncertainty,chapter,unify
4,combustible,relativement,subsection,payable,article,prescribe,register,declaration,reglement,autre
5,assurance,territorial,canadaos,abatement,saskatchewan,liability,nrtee,chapter,instrument,governance
6,chapter,arctic,species,coastal,territorial,fisheries,river,temperature,precipitation,manitoba
7,chapter,category,uncertainty,ipcc,crop,arctic,precipitation,temperature,coastal,species
8,levy,register,backstop,distributor,sand,dialogue,category,canadaos,nrtee,ipcc
9,uncertainty,category,ipcc,crop,tier,nrtee,combustion,conversion,submission,territorial
