,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9
0,greenest,transformto,neighbourhood,ottawa,garden,edmonton,neighbourhoods,footprint,metro,ecological
1,halifax,edmonton,landscape,downtown,recreation,cultural,stormwater,neighbourhood,nova,runoff
2,winnipeg,bus,bicycle,pedestrian,satisfy,calgary,citizen,measurements,ottawa,description
3,trip,greenest,mode,bike,metro,neighbourhood,sample,recipient,footprint,exhibit
4,calgary,customer,thousand,recreation,calgarians,ects,emergency,customers,udget,debt
5,edmonton,downtown,calgary,neighbourhoods,neighbourhood,pedestrian,river,streets,retail,bylaw
6,halifax,transformto,edmonton,calgary,customer,trip,equity,neighbourhoods,customers,index
7,word,amend,delete,amendment,paragraph,ottawa,halifax,item,sentence,rural
8,winnipeg,bicycle,pedestrian,streets,trip,rout,downtown,corridors,calgary,movement
9,ottawa,master,landscape,wastewater,cityos,stormwater,rural,halifax,recreation,groundwater
