,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9
0,models,abatement,page,nl,scenarios,newfoundland,figure,labrador,newfoundland labrador,cims
1,establishment,equation,metric,type activity,co,covered,quantity,metric tonnes,ch,co equivalent
2,person,director,subsection,alberta,respect,levy,carbon levy,specified,certificate,registered
3,purchasing,buying,saskatchewan,newfoundland,labrador,newfoundland labrador,guide,environmentally,procurement,buying green
4,budget,bc,fiscal,debt,fiscal plan,update,forecast,capital,housing,spending
5,manitoba,wind,alberta,columbia,british columbia,nl,bid,island,transit,forest
6,shall,person,top,back top,industrial facility,001,prescribed,disabilities,prescribed regulations,mr
7,ev,baseline,biomass,evs,charging,allowances,nova,trade program,auction,scotia
8,bec,qu,eligible,qu bec,study,hydro,customers,newfoundland,bc,indeco
9,island,edward,prince edward,edward island,prince,pei,al,term years,short,collaborators
