,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,mobility_similarity,social_similarity
0,adaptation,indigenous,indicator,resilience,regions,hazard,chapter,northern,vulnerable,indicators,0.0842818021774292,0.4144960045814514
1,household,online,adaptation,uncertainty,ipcc,statistics,domestic,category,participants,soil,-0.09071780741214752,0.1225680559873581
2,adaptation,species,flood,arctic,warm,chapter,temperature,northern,extreme,winter,-0.09621188789606094,0.17884182929992676
3,ipcc,category,uncertainty,soil,combustion,tier,statistics,conversion,crop,manure,-0.16890496015548706,-0.07695014774799347
4,recycle,adaptation,tax,transfer,scenarios,ipcc,revenues,category,debt,pressure,-0.04045352712273598,-0.006292236037552357
5,register,backstop,jurisdiction,levy,participants,distributor,adaptation,uncertainty,output,mine,-0.1359625607728958,-0.2227843552827835
6,person,assurance,combustible,firm,adaptation,mine,liability,payable,subsection,article,-0.21742331981658936,-0.15095940232276917
7,adaptation,mine,lulucf,territories,countries,coal,grant,uncertainty,country,category,-0.34098300337791443,-0.21612751483917236
8,firm,scenario,kyoto,coal,protocol,territorial,round,domestic,cent,effectiveness,-0.18173320591449738,-0.31802722811698914
9,adaptation,chapter,scenarios,warm,abatement,arctic,regions,emit,soil,uncertainty,-0.17636363208293915,-0.0836908295750618
