,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,mobility_similarity,social_similarity
0,estate,lease,safety,request,gross,discontinue,custodial,assets,security,division,-0.030343670397996902,0.2177673727273941
1,word,delete,amend,master,amendment,downtown,zone,paragraph,street,wastewater,0.2629983127117157,-0.10854954272508621
2,greenest,fleet,adaptation,walk,neighbourhood,cities,tree,resilience,metro,footprint,0.41289347410202026,0.3851867914199829
3,trip,survey,bicycle,walk,pedestrian,panel,mode,greenest,zone,neighbourhood,0.6953978538513184,0.15334588289260864
4,walk,street,bicycle,pedestrian,streets,traffic,trip,safety,movement,rout,0.8118782043457031,0.20733202993869781
5,landscape,street,neighbourhood,downtown,cultural,streets,recreation,neighbourhoods,river,pedestrian,0.49071240425109863,0.4466574490070343
6,downtown,street,cities,pedestrian,cent,adaptation,neighbourhood,resilience,safety,flood,0.4609265923500061,0.4365350604057312
7,solar,cent,scenario,delivery,utility,alignment,district,request,attract,administration,0.047463543713092804,-0.07769721001386642
8,bus,diesel,recipient,cities,fleet,battery,survey,route,pilot,expenditures,0.3507083058357239,-0.27272963523864746
9,volume,safety,satisfy,customer,police,recreation,request,citizen,emergency,delivery,0.32348042726516724,0.40623244643211365
