,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,mobility_similarity,social_similarity
0,eligible,hydro,rebate,customers,indeco,utility,consult,person,maximum,name,-0.0579853281378746,-0.10608525574207306
1,establishment,equation,metric,person,quantity,calculate,reference,calculation,director,attributable,-0.1412126123905182,-0.28984335064888
2,adaptation,flood,collaborators,baseline,biomass,experts,species,photo,fish,diesel,-0.19306272268295288,0.04692826047539711
3,establishment,recycle,cent,adaptation,person,equation,hydro,metric,coal,calculate,-0.16999496519565582,-0.3263828754425049
4,cent,fiscal,debt,care,ministry,sales,school,outlook,child,taxpayer,0.0831160917878151,0.24343767762184143
5,percent,cent,recycle,procurement,environmentally,buy,adaptation,resilience,wood,preferable,0.14990301430225372,0.16088566184043884
6,cent,speaker,hear,adaptation,care,premier,fiscal,person,islanders,director,0.07790231704711914,0.26207348704338074
7,baseline,calculate,shall,person,user,biomass,mine,prescribe,output,select,-0.19864597916603088,-0.26967549324035645
8,person,allowance,subsection,director,auction,entity,levy,prescribe,submit,notice,-0.061617590487003326,-0.1932206153869629
9,cent,abatement,precipitation,coal,scenarios,methane,tax,adaptation,solar,days,-0.11344955861568451,-0.29279330372810364
