,Location,Scale,npn_social_docs_score
greenest-city-appliction-implementation-update-presentation-2014.txt,Cities,Municipal,0.9974837303161621
gc2020-longterm-goals.txt,Cities,Municipal,0.7174080014228821
greenest-city-implementation-update-20120116.txt,Cities,Municipal,0.612270712852478
greenest-city-action-plan-implementation-update-2017.txt,Cities,Municipal,0.636206865310669
GC2020-brochure.txt,Cities,Municipal,0.9961338043212891
Greenest-city-action-plan.txt,Cities,Municipal,0.9625489711761475
greenest-city-2020-action-plan-2012-2013-implementation-update.txt,Cities,Municipal,0.9101402759552002
greenest-city-action-plan-presentation-to-council-2017-06-27.txt,Cities,Municipal,0.6792536973953247
965b-TransformTO-Ward-19-Lets-TransformTO.txt,Cities,Municipal,0.5575247406959534
GCAP-council-report.txt,Cities,Municipal,0.8909672498703003
gc2020-priorities.txt,Cities,Municipal,0.9938330054283142
gc2020-targets.txt,Cities,Municipal,0.999230146408081
greenest-city-action-plan-implementation-update-2014-2015.txt,Cities,Municipal,0.5009185075759888
greenest-city-2020-action-plan-2013-2014-implementation-update.txt,Cities,Municipal,0.5054687261581421
carbonrevenuerecycling.txt,MB,Provincial,0.972627580165863
