,Location,Scale,npn_mobility_docs_score
Climate Action - Province of British Columbia.txt,BC,Provincial,0.623641312122345
strategy.txt,Cities,Municipal,0.9999486804008484
Capital_City_Downtown_Plan_May_27_2010.txt,Cities,Municipal,0.9999297261238098
101_Ave_Study_What_We_Heard_Summary_Sept_2016.txt,Cities,Municipal,0.7845691442489624
TransportationPlan.txt,Cities,Municipal,0.9998732805252075
Transportation_2040_Plan_as_adopted_by_Council.txt,Cities,Municipal,0.9120292067527771
SustainableTransportation.txt,Cities,Municipal,0.9924883842468262
cap078814.txt,Cities,Municipal,0.5857633948326111
EdmontonGreenNetworkContext_Stage1SummaryReport_July2016.txt,Cities,Municipal,0.5155243873596191
opa_150_en.txt,Cities,Municipal,0.9996045231819153
080923cow3.txt,Cities,Municipal,0.696093738079071
MDP_Bylaw_15100.txt,Cities,Municipal,0.9998295307159424
TransportationPolicies.txt,Cities,Municipal,0.9949114918708801
GreenLineSummary.txt,Cities,Municipal,0.9212910532951355
Appendix-15.0-City-of-Edmonton-Municipal-Development-Plan-min.txt,Cities,Municipal,0.9998321533203125
strategy_strategic_framework.txt,Cities,Municipal,0.9960160851478577
TransportationMasterPlan.txt,Cities,Municipal,0.9998496770858765
MunicipalDevelopmentPlan.txt,Cities,Municipal,0.9999496936798096
strategy_implementation_monitoring.txt,Cities,Municipal,0.9995945692062378
HGNP-Primer.txt,Cities,Municipal,0.8569931387901306
2011-11-01-TTRWinnipegTMP-Final-Report.txt,Cities,Municipal,0.9998371601104736
180814rc1431.txt,Cities,Municipal,0.9920531511306763
