terms,windows,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9,Term10
carbon,50,price,carbon_price,domestic,put_price,pollution,permit,costeffective_way,price_signal,unified,implicit_price
carbon,100,carbon_price,price,domestic,put_price,permit,costeffective_way,pollution,attractiveness,price_signal,corporate_personal
carbon,150,carbon_price,price,domestic,put_price,attractiveness,permit,restructuring,costeffective_way,corporate_personal,pollution
carbon,200,price,carbon_price,domestic,put_price,restructuring,permit,costeffective_way,pollution,attractiveness,price_signal
carbon,250,put_price,price,carbon_price,adversely_affected,domestic,permit,price_signal,contain_cost,cost_imposed,abatement_opportunity
carbon,300,price,carbon_price,put_price,domestic,restructuring,attractiveness,costeffective_way,corporate_personal,permit,price_signal
carbon,350,price,domestic,carbon_price,implicit_price,put_price,impose,costeffective_way,theory,abatement_opportunity,pollution
carbon,400,price,carbon_price,domestic,put_price,abatement_opportunity,permit,price_signal,shield,costeffective_way,generates_revenue
carbon,450,carbon_price,price,put_price,domestic,restructuring,price_signal,shield,impose,permit,costeffective_way
carbon,500,price,carbon_price,domestic,permit,pollution,contain_cost,abatement_opportunity,sends,price_signal,implicit_price
pricing,50,carbon_pollution,economywide,carbon_pricing,jurisdiction,place,broadly_recognized,unified,patchwork,trading_system,trading_regime
pricing,100,carbon_pollution,economywide,carbon_pricing,jurisdiction,patchwork,broadly_recognized,place,trading_system,unified,capandtrade_system
pricing,150,carbon_pollution,economywide,carbon_pricing,jurisdiction,broadly_recognized,patchwork,place,trading_system,unified,put_price
pricing,200,carbon_pollution,economywide,carbon_pricing,jurisdiction,patchwork,broadly_recognized,place,trading_system,unified,economywide_capandtrade
pricing,250,carbon_pollution,economywide,trading_regime,carbon_pricing,place,patchwork,existing_planned,put_price,unified,jurisdiction
pricing,300,carbon_pollution,economywide,carbon_pricing,jurisdiction,patchwork,place,broadly_recognized,unified,trading_system,put_price
pricing,350,carbon_pollution,economywide,carbon_pricing,trading_regime,place,broadly_recognized,unified,patchwork,jurisdiction,multiple_objective
pricing,400,carbon_pollution,carbon_pricing,economywide,patchwork,already_place,efficient_way,jurisdiction,unified,place,current_fragmented
pricing,450,carbon_pollution,efficient_way,broadly_recognized,nationwide,economywide,patchwork,carbon_pricing,jurisdiction,place,unified
pricing,500,carbon_pollution,efficient_way,economywide,patchwork,carbon_pricing,jurisdiction,place,broadly_recognized,benchmark,unified
climate,50,longstanding,circulation_model,wetter,climate_change,changing_climate,already_evident,depression,warming_stake,vulnerability,degree_change
climate,100,wetter,longstanding,already_evident,circulation_model,climate_change,changing_climate,depression,vulnerability,paying_price,warming_stake
climate,150,wetter,longstanding,depression,already_evident,climate_change,changing_climate,vulnerability,paying_price,circulation_model,impact_adaptation
climate,200,wetter,already_evident,longstanding,depression,climate_change,changing_climate,vulnerability,american_meteorological,paying_price,impact_adaptation
climate,250,already_evident,climate_change,nationalscale,response,twofold,vulnerability,changing_climate,longstanding,impact_adaptation,smit_et
climate,300,wetter,american_meteorological,already_evident,depression,changing_climate,vulnerability,longstanding,paying_price,climate_change,impact_adaptation
climate,350,depression,already_evident,climate_change,magnitude_projected,impact_adaptation,nationalscale,warming_stake,degree_change,changing_climate,vulnerability
climate,400,depression,impact_adaptation,international_polar,climate_change,sector_perspective,paying_price,elsewhere_world,warming_stake,lemmen_et,study_completed
climate,450,already_evident,longstanding,climate_change,uncertainty_surrounding,widely_accepted,impact_adaptation,paying_price,unique_challenge,vulnerability,highlighting
climate,500,already_evident,hydroclimatic,climate_change,vulnerability,changing_climate,impact_adaptation,extraordinary,wetter,response,entrenched
greenhouse,50,atmospheric_lifetime,managed_forest,radiative_forcing,mean_temperature,net_flux,tempera_ture,time_series,rapid_growth,water_vapour,ppm
greenhouse,100,atmospheric_lifetime,time_series,mean_temperature,managed_forest,radiative_forcing,tempera_ture,rapid_growth,ppm,respectively,slow_growth
greenhouse,150,atmospheric_lifetime,mean_temperature,managed_forest,radiative_forcing,tempera_ture,time_series,rapid_growth,mekis_vincent,slow_growth,prowse_et
greenhouse,200,atmospheric_lifetime,mean_temperature,managed_forest,radiative_forcing,tempera_ture,mekis_vincent,time_series,rapid_growth,prowse_et,atmospheric
greenhouse,250,removal,uncertainty_introduced,combined_uncertainty,managed_land,uncertainty_assessment,nov,methodology_used,emissionsremovals,wmo,documented
greenhouse,300,atmospheric_lifetime,rapid_growth,slow_growth,tempera_ture,mekis_vincent,mean_temperature,time_series,ppm,exam,risen
greenhouse,350,coefficient,gg_co,wmo,net_flux,uncertainty_introduced,expected_close,interannual_variability,uncertainty_assessment,managed_land,methodology_used
greenhouse,400,canziani_na,combined_uncertainty,decreasing_trend,leary_dj,anomaly,ed_jj,mccarthy_of,managed_land,removal,late_s
greenhouse,450,tempera_ture,atmospheric_lifetime,lations,atmospheric_concentration,mekis_vincent,ppm,slow_growth,radiative_forcing,lake_superior,ice_extent
greenhouse,500,statistically_significant,atmospheric,relative_preindustrial,decreasing_trend,slow_growth,rapid_growth,ppm,exam,remained_relatively,tempera_ture
backstop,50,cap_trade,technical_paper,ets,wci,federal_benchmark,cap_andtrade,benchmark,equivalency_agreement,tax_capandtrade,scheduled
backstop,100,cap_trade,wci,technical_paper,ets,federal_benchmark,benchmark,cap_andtrade,equivalency_agreement,tax_capandtrade,quebec_california
backstop,150,cap_trade,wci,technical_paper,ets,federal_benchmark,benchmark,cap_andtrade,equivalency_agreement,tax_capandtrade,opted
backstop,200,cap_trade,wci,technical_paper,federal_benchmark,ets,benchmark,cap_andtrade,equivalency_agreement,tax_capandtrade,national_capandtrade
backstop,250,federally,cap_andtrade,equivalency_agreement,technical_paper,federal_benchmark,wci,federal_backstop,national_capandtrade,similarity,benchmark
backstop,300,cap_trade,wci,federal_benchmark,technical_paper,ets,benchmark,cap_andtrade,national_capandtrade,equivalency_agreement,tax_capandtrade
backstop,350,quebec_california,cap_andtrade,wci,national_capandtrade,technical_paper,benchmark,federally,capandtrade,federal_benchmark,pricing_system
backstop,400,federally,equivalency_agreement,technical_paper,wci,federal_benchmark,permit_allocation,tax_capandtrade,composed,enact,opted
backstop,450,wci,federally,technical_paper,cap_trade,benchmark,ets,federal_benchmark,cap_andtrade,equivalency_agreement,national_capandtrade
backstop,500,cap_andtrade,benchmark,national_capandtrade,cap_trade,wci,capandtrade,federal_benchmark,implement_capandtrade,technical_paper,ets
infrastructure,50,capacity,snowmaking,safety,access,insurance,decommissioning,permafrost_warming,indigenous_community,resiliency,rapidly_growing
infrastructure,100,capacity,snowmaking,access,safety,insurance,permafrost_warming,decommissioning,indigenous_community,rapidly_growing,node
infrastructure,150,capacity,snowmaking,access,safety,permafrost_warming,insurance,decommissioning,indigenous_community,node,company
infrastructure,200,capacity,snowmaking,access,safety,permafrost_warming,decommissioning,insurance,node,indigenous_community,company
infrastructure,250,capacity,decommissioning,economic_diversification,access,indigenous_community,jeopardize,permafrost_warming,company,insurance,northern_remote
infrastructure,300,capacity,snowmaking,access,decommissioning,safety,permafrost_warming,indigenous_community,insurance,node,company
infrastructure,350,capacity,access,decommissioning,safety,insurance,dam_reservoir,company,transmission_grid,csri,indigenous_community
infrastructure,400,capacity,decommissioning,access,jeopardize,restoration,resource,csri,transborder,indigenous_community,permafrost_warming
