terms,windows,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9,Term10
carbon,50,ghg_emission,emission,greenhouse_gas,fossil_fuel,gas_emission,reduce_ghg,reducing_greenhouse,reduce_greenhouse,reduction,cost_saving
carbon,100,ghg_emission,significantly_reduce,emission,gas_emission,greenhouse_gas,cc,dependence_fossil,reduction,fossil_fuel,reduce_greenhouse
carbon,150,ghg_emission,significantly_reduce,emission,gas_emission,greenhouse_gas,cc,dependence_fossil,fossil_fuel,reduction,renewable
carbon,200,ghg_emission,significantly_reduce,emission,cc,gas_emission,greenhouse_gas,dependence_fossil,reduction,fossil_fuel,ghg
carbon,250,gas_emission,ghg_emission,dependence_fossil,reduction,greenhouse_gas,emission,fossil_fuel,reduce_greenhouse,significantly_reduce,reducing_greenhouse
carbon,300,ghg_emission,significantly_reduce,cc,emission,gas_emission,greenhouse_gas,dependence_fossil,reduction,fossil_fuel,renewable
carbon,350,ghg_emission,emission,significantly_reduce,gas_emission,greenhouse_gas,cc,dependence_fossil,renewable,fossil_fuel,reduction
carbon,400,ghg_emission,cc,significantly_reduce,emission,gas_emission,greenhouse_gas,dependence_fossil,renewable,reduction,fossil_fuel
carbon,450,ghg_emission,emission,significantly_reduce,gas_emission,cc,greenhouse_gas,dependence_fossil,renewable,fossil_fuel,ghg
carbon,500,ghg_emission,significantly_reduce,emission,gas_emission,cc,greenhouse_gas,dependence_fossil,renewable,fossil_fuel,reduction
pricing,50,space_heating,conventional,retirement,automated,stock,converted,excess,heat_pump,surcharge,enbridge
pricing,100,space_heating,conventional,transmission,readiness,heat_pump,ventilation,load,excess,device,logic
pricing,150,space_heating,conventional,transmission,readiness,heat_pump,ventilation,excess,load,device,logic
pricing,200,conventional,space_heating,transmission,readiness,heat_pump,ventilation,excess,load,decentralized,device
pricing,250,conventional,excess,ventilation,automated,streetlight,stock,valve,boiler,funded_investment,distribution_system
pricing,300,conventional,space_heating,readiness,transmission,heat_pump,ventilation,excess,decentralized,load,logic
pricing,350,conventional,space_heating,transmission,ventilation,readiness,heat_pump,excess,load,decentralized,substation
pricing,400,conventional,transmission,space_heating,ventilation,readiness,heat_pump,excess,decentralized,load,device
pricing,450,conventional,space_heating,transmission,ventilation,readiness,heat_pump,excess,device,load,emitting
pricing,500,conventional,transmission,space_heating,readiness,ventilation,heat_pump,excess,logic,substation,decentralized
climate,50,climate_change,adaptation,one_greatest,global,cobenefits,low_carbon,deep_carbon,health_equity,declaration,given_current
climate,100,climate_change,adaptation,tackling,global,cobenefits,one_greatest,deep_carbon,vulnerability_risk,health_equity,low_carbon
climate,150,climate_change,adaptation,tackling,global,cobenefits,vulnerability_risk,deep_carbon,one_greatest,low_carbon,health_equity
climate,200,climate_change,adaptation,tackling,global,vulnerability_risk,cobenefits,one_greatest,deep_carbon,low_carbon,gpc
climate,250,climate_change,adaptation,one_greatest,vulnerability_risk,inspiring,global,declaration,prosperous_healthy,reducing_ghg,disaster_risk
climate,300,climate_change,adaptation,tackling,global,vulnerability_risk,cobenefits,deep_carbon,one_greatest,low_carbon,gpc
climate,350,climate_change,adaptation,tackling,global,vulnerability_risk,cobenefits,deep_carbon,low_carbon,energy_transition,gpc
climate,400,climate_change,adaptation,tackling,global,vulnerability_risk,deep_carbon,cobenefits,low_carbon,energy_transition,one_greatest
climate,450,climate_change,adaptation,tackling,global,vulnerability_risk,deep_carbon,cobenefits,energy_transition,low_carbon,gpc
climate,500,climate_change,adaptation,tackling,global,cobenefits,vulnerability_risk,deep_carbon,low_carbon,energy_transition,gpc
greenhouse,50,cut,supplying,biomethane,water_heating,heat_power,organic_waste,nuclear,emit,appliance,electronics
greenhouse,100,diverts,nuclear_power,emitter,coe,emit,cut,co,megawatt,bau,burning
greenhouse,150,diverts,nuclear_power,emitter,emit,coe,megawatt,cut,bau,co,burning
greenhouse,200,diverts,nuclear_power,emitter,emit,cut,megawatt,mwh,coe,bau,burning
greenhouse,250,appliance,emit,cut,combustion,recycled,harder,thermal,wall,manufacture,heat_power
greenhouse,300,diverts,nuclear_power,emitter,megawatt,bau,emit,burning,coe,cement,cut
greenhouse,350,diverts,nuclear_power,emitter,bau,megawatt,burning,coe,emit,cement,cut
greenhouse,400,diverts,nuclear_power,emitter,bau,megawatt,burning,cut,cement,emit,coal_natural
greenhouse,450,diverts,nuclear_power,emitter,megawatt,burning,coe,house,cement,bau,cut
greenhouse,500,diverts,nuclear_power,emitter,bau,burning,coe,coal_natural,cut,megawatt,garbage
backstop,50,,,,,,,,,,
backstop,100,,,,,,,,,,
backstop,150,,,,,,,,,,
backstop,200,,,,,,,,,,
backstop,250,,,,,,,,,,
backstop,300,,,,,,,,,,
backstop,350,,,,,,,,,,
backstop,400,,,,,,,,,,
backstop,450,,,,,,,,,,
backstop,500,,,,,,,,,,
infrastructure,50,operational_improvement,reallocate,optimized,rehabilitation_replacement,sustainable_manner,modernization,public_rightsofway,asset,life_cycle,improvement
infrastructure,100,pro􏱌ect,optimized,maximizes,􏱙nvesting_􏰋obility,modal_shift,sustainable_manner,critical_supporting,improvement,integration,􏰋􏰿
infrastructure,150,pro􏱌ect,optimized,􏱙nvesting_􏰋obility,maximizes,modal_shift,sustainable_manner,critical_supporting,􏰋􏰿,improvement,integration
