terms,windows,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9,Term10
carbon,50,carbon_pricing,market,carbon_pollution,jurisdiction,uncertain,transition_lower,pollution,reducing,reduce,could
carbon,100,carbon_pricing,market,reducing,reduce,carbon_pollution,pollution,per_barrel,could,overall,procurement_decision
carbon,150,carbon_pricing,market,reduce,reducing,carbon_pollution,pollution,overall,jurisdiction,could,bc’s
carbon,200,carbon_pricing,market,carbon_pollution,reduce,pollution,jurisdiction,reducing,brunswick,proportional,overall
carbon,250,carbon_pricing,market,jurisdiction,reducing,transition_lower,reduce,carbon_pollution,price_signal,pollution,taken_account
carbon,300,carbon_pricing,carbon_pollution,reduce,market,reducing,pollution,jurisdiction,brunswick,proportional,overall
carbon,350,carbon_pricing,carbon_pollution,reduce,market,pollution,reducing,jurisdiction,overall,proportional,bc’s
carbon,400,carbon_pricing,carbon_pollution,reduce,pollution,reducing,market,jurisdiction,proportional,bc’s,overall
carbon,450,carbon_pricing,carbon_pollution,pollution,reduce,reducing,market,jurisdiction,proportional,bc’s,overall
carbon,500,carbon_pricing,carbon_pollution,reduce,pollution,reducing,market,jurisdiction,bc’s,overall,proportional
pricing,50,economywide_carbon,cover,lowered,coverage,furthermore,escalating,point,emit,output_based,cut
pricing,100,priced,price_signal,coverage,emit,direct,regulatory_obligation,outputbased,down,“carbon,economywide
pricing,150,price_signal,“carbon,economywide,would_still,emit,priced,coverage,relative,down,regulatory_obligation
pricing,200,cut,emitting,decoupling,lowering,intensive,good_movement,point,direct,incent,emit
pricing,250,incent,“carbon,furthermore,cover,emit,harmful,priced,predictable,price_signal,cut
pricing,300,cut,lowering,incent,good_movement,direct,intensive,cover,decoupling,significantly,economywide_carbon
pricing,350,cut,lowering,incent,decoupling,direct,intensive,significantly,good_movement,relatively_low,cover
pricing,400,cut,lowering,incent,good_movement,direct,decoupling,significantly,cover,intensive,economywide_carbon
pricing,450,cut,lowering,incent,good_movement,decoupling,significantly,direct,cover,relatively_low,intensive
pricing,500,cut,lowering,incent,significantly,good_movement,direct,decoupling,intensive,sector’s,relatively_low
climate,50,resistance,climate_change,environment,fighting_climate,risk,weather_pattern,making_decision,happening,unprecedented,temperature_precipitation
climate,100,weather_pattern,fighting_climate,summarized,risk,climate_change,environment,change,fight_climate,happening,extreme_weather
climate,150,weather_pattern,climate_change,fighting_climate,risk,summarized,fight_climate,environment,resistance,challenge_facing,extreme_weather
climate,200,weather_pattern,climate_change,environment,fighting_climate,press,risk,future,unprecedented,change,extreme_weather
climate,250,climate_change,fighting_climate,weather_pattern,press,environment,extreme_weather,risk,future,change,adaptation
climate,300,weather_pattern,climate_change,environment,press,fighting_climate,making_decision,risk,unprecedented,fight_climate,future
climate,350,weather_pattern,climate_change,environment,press,fighting_climate,making_decision,unprecedented,risk,extreme_weather,adaptation_mitigation
climate,400,weather_pattern,climate_change,environment,press,fighting_climate,making_decision,risk,unprecedented,fight_climate,adaptation_mitigation
climate,450,weather_pattern,climate_change,environment,press,making_decision,fighting_climate,unprecedented,risk,fight_climate,adaptation_mitigation
climate,500,weather_pattern,climate_change,press,environment,making_decision,fighting_climate,unprecedented,risk,fight_climate,adaptation_mitigation
greenhouse,50,controller,yard,logging,upgraded,capable,manure,powering,canmost,machinery,product_manufacturing
greenhouse,100,compressor,controller,thermostat,window,mill,fan,residue,replacing,recycled_material,solar_heating
greenhouse,150,thermostat,handling,replacing,recycled_material,forest_harvesting,small_medium,paper,recovery,optimization,wind_power
greenhouse,200,organic,treat,cruise_ship,operational,curbside,en_ergy,yard,power_generation,mostly,nonresidential
greenhouse,250,recycled_material,disposal,wind_power,solar_heating,replacing,machinery,heating_equipment,residue,recovery,cc
greenhouse,300,en_ergy,treat,could_applied,organic,optimize,opportunity_description,store,curbside,operational,structure
greenhouse,350,en_ergy,treat,organic,store,structure,operational,biofuel_production,curbside,cruise_ship,pursuing
greenhouse,400,en_ergy,could_applied,treat,curbside,structure,operational,store,opportunity_description,organic,optimize
greenhouse,450,could_applied,structure,treat,en_ergy,operational,curbside,store,opportunity_description,organic,optimize
greenhouse,500,structure,en_ergy,treat,operational,curbside,organic,could_applied,cruise_ship,pursuing,store
backstop,50,agreed,scheme,signatory,enactment,qubec,ministerial,intention,test_investigation,confirms,november
backstop,100,november,qubec,agreed,action_taken,international_agreement,decision_made,administer,least_every,adopted,finalized
backstop,150,november,qubec,adopted,agreed,finalized,ct_system,press,administer,desired,kyoto_protocol
backstop,200,sinking_fund,scheme,summary_result,entitlement,appendix_table,qubec,occurred,ó,intention,copy_order
backstop,250,scheme,formally,intends,ct_system,qubec,sinking_fund,discussed,make_recommendation,force,release
backstop,300,sinking_fund,summary_result,scheme,entitlement,enactment,make_recommendation,occurred,top_amendment,copy_order,nationwide
backstop,350,sinking_fund,scheme,summary_result,occurred,make_recommendation,entitlement,enactment,top_amendment,copy_order,qubec
backstop,400,sinking_fund,summary_result,scheme,entitlement,make_recommendation,occurred,top_amendment,enactment,copy_order,nationwide
backstop,450,sinking_fund,scheme,summary_result,entitlement,make_recommendation,enactment,occurred,top_amendment,f_prescribing,copy_order
backstop,500,sinking_fund,scheme,summary_result,entitlement,make_recommendation,occurred,enactment,top_amendment,copy_order,qubec
infrastructure,50,improve,sustainable,local,resource,development,innovation,job,green,supporting,promote
infrastructure,100,green,resource,improve,job,local,area,innovation,sustainable,development,enhance
infrastructure,150,resource,improve,green,local,development,job,sustainable,innovation,area,new
infrastructure,200,green,improve,development,local,sustainable,job,resource,innovation,new,support
infrastructure,250,improve,green,resource,development,job,sustainable,innovation,new,support,help
infrastructure,300,green,sustainable,improve,local,resource,job,innovation,development,help,support
infrastructure,350,green,sustainable,improve,job,resource,local,innovation,development,support,help
infrastructure,400,green,sustainable,resource,improve,job,local,innovation,development,support,help
infrastructure,450,green,sustainable,improve,job,resource,local,innovation,development,support,help
infrastructure,500,green,sustainable,resource,job,improve,local,development,support,innovation,help
fuel,50,renewable_content,used,gasoline,type,combustion_fossil,purchase,litre,gasoline_diesel,ifta_commercial,vehicle
fuel,100,renewable_content,gasoline,used,combusted,type,coal_petroleum,gasoline_diesel,purchase,litre,light_fuel
fuel,150,renewable_content,used,gasoline,gasoline_diesel,combusted,purchase,type,coal_petroleum,combustion_fossil,light_fuel
fuel,200,used,purchase,gasoline,coal_petroleum,type,litre,renewable_content,gasoline_diesel,combustion_fossil,fuel_consumed
fuel,250,used,renewable_content,gasoline,purchase,type,diesel_gasoline,light_fuel,litre,gasoline_diesel,consumption_fossil
fuel,300,used,purchase,gasoline,coal_petroleum,type,litre,renewable_content,combustion_fossil,gasoline_diesel,diesel_gasoline
fuel,350,used,weighing,purchase,renewable_content,gasoline,combustion_fossil,coal_petroleum,type,litre,gasoline_diesel
fuel,400,used,purchase,gasoline,coal_petroleum,renewable_content,type,litre,combustion_fossil,gasoline_diesel,light_fuel
fuel,450,used,purchase,gasoline,type,combustion_fossil,litre,coal_petroleum,renewable_content,light_fuel,diesel_gasoline
fuel,500,used,purchase,gasoline,coal_petroleum,combustion_fossil,renewable_content,type,litre,diesel_gasoline,light_fuel
gas,50,light_fuel,combustion,refining,vented,diesel,cement,electricity_generation,power_plant,natural_gas,ethanol_produced
gas,100,combusted,coal_mining,coal,fuel_whose,produced,combustion,oil,natural_gas,ethanol_produced,electricity_generation
gas,150,coal,ethanol_produced,power_plant,combusted,coal_mining,natural_gas,combustion,oil,produced,diesel
gas,200,power_plant,reaction,coal,electrical_power,electricity_generation,natural_gas,methane_produced,produced,oil,refining
gas,250,coal,light_fuel,diesel,leak,natural_gas,oil,combustion,coal_mining,produced,ethanol_produced
gas,300,reaction,methane_produced,power_plant,coal,electricity_generation,natural_gas,electrical_power,produced,oil,refining
gas,350,reaction,methane_produced,power_plant,coal,natural_gas,oil,combustion,electrical_power,produced,electricity_generation
gas,400,reaction,methane_produced,power_plant,coal,natural_gas,oil,produced,combustion,electricity_generation,electrical_power
gas,450,reaction,methane_produced,coal,power_plant,natural_gas,combustion,oil,produced,light_fuel,electricity_generation
gas,500,methane_produced,reaction,coal,power_plant,combustion,natural_gas,oil,produced,light_fuel,combustion_fossil
transportation,50,waste,þ,industrial,clean,efficiency,cleaner,local_air,renewable_energy,upstream,help_drive
transportation,100,clean,waste,renewable_energy,movement_good,industrial,þ,help_drive,efficiency,cleaner,low_carbon
transportation,150,clean,renewable_energy,waste,efficiency,industrial,cleaner,þ,deploying,alternative,low_carbon
transportation,200,industrial,waste,clean,efficiency,cleaner,renewable_energy,noncombustion,þ,providing_incentive,efficient
transportation,250,clean,efficiency,industrial,renewable_energy,efficient,waste,cleaner,þ,large_scale,low_carbon
transportation,300,industrial,waste,efficiency,providing_incentive,clean,renewable_energy,cleaner,noncombustion,efficient,þ
transportation,350,industrial,waste,efficiency,clean,cleaner,noncombustion,providing_incentive,renewable_energy,þ,energy
transportation,400,industrial,efficiency,waste,providing_incentive,clean,cleaner,renewable_energy,noncombustion,efficient,energy
transportation,450,industrial,waste,efficiency,providing_incentive,clean,cleaner,renewable_energy,energy,noncombustion,þ
transportation,500,industrial,waste,efficiency,providing_incentive,clean,cleaner,noncombustion,energy,renewable_energy,efficient
transit,50,improvement,public_transit,energy_efficient,building_retrofit,home_business,retrofit,utility,electric_vehicle,existing,offer
transit,100,public_transit,improvement,offer,energy_efficient,existing,charging_station,expand,recycling,comfort,invest
transit,150,public_transit,improvement,offer,energy_efficient,existing,comfort,utility,charging_station,invest,retrofit
transit,200,public_transit,energy_efficient,improvement,existing,offer,home_business,utility,expand,recycling,investment_supported
transit,250,offer,energy_efficient,improvement,public_transit,retrofit,electric_vehicle,expansion,existing,home_business,recycling
transit,300,existing,public_transit,energy_efficient,improvement,investment_supported,expand,utility,offer,expanding,home_business
transit,350,existing,public_transit,improvement,energy_efficient,expand,investment_supported,utility,expanding,offer,home_business
transit,400,existing,public_transit,energy_efficient,improvement,expand,utility,investment_supported,offer,home_business,expanding
transit,450,existing,improvement,public_transit,energy_efficient,investment_supported,expand,utility,expanding,offer,home_business
transit,500,existing,improvement,public_transit,energy_efficient,expand,investment_supported,utility,emerging_technology,expanding,offer
mobility,50,secure,greening,labour,exist,economic_sustainability,attracted,community_across,player,integration,pedestrian
mobility,100,secure,integration,■,stewardship,community_across,pedestrian,enhanced,resident,farmer,facilitate
mobility,150,secure,■,hub,case_study,cluster,ev_infrastructure,integration,interconnected,urban,diversification
mobility,200,secure,rural_community,green_job,rural_area,innovator,public_private,employment_opportunity,cluster,emerging,quality
mobility,250,sustainably,labour,resident,water_quality,support_transition,stewardship,farmer,emerging,thousand,next_generation
mobility,300,secure,rural_area,environmental_sustainability,incorporate,green_job,emerging,cluster,public_private,farmer,quality
mobility,350,secure,rural_area,environmental_sustainability,green_job,incorporate,emerging,public_private,cluster,case_study,integration
mobility,400,secure,incorporate,rural_area,environmental_sustainability,green_job,cluster,public_private,emerging,employment_opportunity,quality
mobility,450,secure,environmental_sustainability,rural_area,incorporate,cluster,emerging,explore_opportunity,green_job,public_private,employment_opportunity
mobility,500,secure,incorporate,green_job,environmental_sustainability,rural_area,emerging,public_private,employment_opportunity,quality,readiness
pass,50,utility_commission,obp,requiring,allowed,upgrading_refining,regulation_ar,lfg,permanently,permitted,governing
pass,100,remove,baseline_site,ceiling,pb,exempt,purchased,mixed,specify,sell_remove,manufactured
pass,150,remove,sell_remove,person_sell,baseline_site,oxidation,raw_gas,separate,specify,transported,discharge
pass,200,scrap,exempt,motor_vehicle,biomethane,sell,subcategory_type,either,locomotive,locomotive_diesel,substance
pass,250,specify,automatically,tracking_system,modified,prescribed_class,assurance,pb,remove,what,same
pass,300,exempt,biomethane,automatically,scrap,baseline_site,rate_set,carrier,tax_exemption,form,substituting
pass,350,automatically,biomethane,exempt,baseline_site,ticket,carrier,prescribed_class,rate_set,scrap,substituting
pass,400,biomethane,exempt,automatically,scrap,substituting,baseline_site,ticket,prescribed_class,carrier,form
pass,450,automatically,biomethane,exempt,ticket,scrap,prescribed_class,substituting,required_pay,qualifying_fuel,administrative
pass,500,biomethane,automatically,exempt,baseline_site,scrap,administrative,required_pay,prescribed_class,ticket,substituting
social,50,society,protecting,manitobans,unique,sharing,integrate_climate,vulnerable,environmental_stewardship,responsive,great
social,100,ecological,vulnerable,protecting_environment,food_security,great,protecting,living,society,experience,landscape
social,150,ecological,sharing,healthy,food_security,protecting,vulnerable,protecting_environment,society,ministry_forest,citizen
social,200,protecting,vulnerable,great,ecological,survival,wellbeing,society,taking_place,islander,knowledge_gap
social,250,raise_awareness,society,protecting,ecological,withstand,smart_growth,inclusive,healthy,connectivity,food_security
social,300,ecological,society,protecting,wellbeing,citizen,taking_place,vulnerable,wide_range,knowledge_gap,islander
social,350,ecological,society,citizen,protecting,vulnerable,wellbeing,wide_range,knowledge_gap,taking_place,survival
