,Municipal,Provincial,Federal
ability_adjust,,2.0,
about,,,2.0
aerosol,,,3.0
agency_soa,2.0,,
applying,,2.0,
associ_ated,,,3.0
boundary,,6.0,
closely,,,9.0
compensation,,2.0,
condition_payment,,4.0,
continuous,,3.0,
contract,,2.0,
data_input,,3.0,
decreased_due,8.0,,
downward,,,3.0
duguay,,,4.0
ee,,2.0,
eligible_receive,,5.0,
excluded,,,5.0
experienced_significant,,,5.0
format,,3.0,
heavy_vehicle,9.0,,
incentive_paid,,5.0,
kilometer,6.0,,
kmh,3.0,,
located,,2.0,
lowest,,,2.0
matthew,3.0,,
meter,,2.0,
opa,,4.0,
operates,,3.0,
over,,,5.0
ownership,,7.0,
oxide,,,2.0
paid_parking,6.0,,
performing,,2.0,
previously,,7.0,
remained,8.0,,
represent_incremental,,,5.0
seal,,2.0,
selection,,2.0,
sidewalk_pathway,5.0,,
sign_agreement,,8.0,
soa,2.0,,
soa_parking,4.0,,
specially,,2.0,
specialty_equipment,10.0,,
spreadsheet,,2.0,
subtracted,,,2.0
sum,,,4.0
those,,,5.0
unused,,2.0,
varying,,,5.0
weighted,,,2.0
whereas,,,5.0
􏱢_􏱢,8.0,,
􏲀􏱢,9.0,,
􏲀􏱢_􏲀􏱢,7.0,,
