,Municipal,Provincial,Federal
address_knowledge,,2.0,
algorithm,,,3.0
approaching,,3.0,
bird,,2.0,
catalytic,,,3.0
child_youth,,2.0,
children’s,2.0,,
commissioning,,,2.0
david,4.0,,
déclaration_de,,,2.0
donated,2.0,,
educated,3.0,,
ee,,,2.0
electronics_industry,,,5.0
else,9.0,,
enjoying,6.0,,
entrepreneur,,3.0,
excellent,,2.0,
filed,,,4.0
fishery,,6.0,
friendly,4.0,,
gordon,4.0,,
holland_college,,3.0,
home_care,,3.0,
infrastructure_owner,,7.0,
intervention,,3.0,
kid,10.0,,
light_medium,,,3.0
literacy,8.0,,
methanol,,,3.0
news,3.0,,
noncovered_activity,,,2.0
nutrition,8.0,,
planner,,5.0,
promoted,4.0,,
regis_tered,,,2.0
researcher,,3.0,
restoration,,5.0,
seminar,2.0,,
shore,,2.0,
skilled,4.0,,
steam_generation,,,3.0
survive,5.0,,
town,,6.0,
tractor,,,2.0
used_estimating,,,3.0
valuable,,6.0,
village,,2.0,
water_retention,,7.0,
whose,6.0,,
wildlife_management,,2.0,
