,Municipal,Provincial,Federal
biogas_landfill,9.0,,
coal,,9.0,
coal_mining,,3.0,
coal_natural,9.0,,
combusted,,2.0,
combustion,,8.0,
diesel,,3.0,
dispose,,,2.0
electrical_power,,4.0,
electricity,10.0,,
electricity_generation,,7.0,
electricity_natural,10.0,,
emit,8.0,,
emitted,7.0,,
ethanol_produced,,4.0,
flaring_venting,,,7.0
fugitive_emission,,,4.0
generated,9.0,,
industrial_process,,,9.0
largest_source,,,2.0
light_fuel,,4.0,
livestock,,,9.0
megawatt,10.0,,
methane,,,10.0
methane_produced,,6.0,
metric_tonne,3.0,,
msw_landfill,,,5.0
mt_respectively,,,3.0
municipal_solid,,,9.0
natural_gas,10.0,10.0,
oil,,9.0,
power_plant,,8.0,
produced,,9.0,
reaction,,6.0,
refining,,3.0,
stationary_energy,,,3.0
tonne_greenhouse,10.0,,
upstream_oil,,,7.0
venting,,,9.0
waste_landfill,,,6.0
