,Municipal,Provincial,Federal
administrative,,2.0,
automatically,,6.0,
baseline_site,,6.0,
biomethane,,6.0,
carrier,,3.0,
comparative,8.0,,
discounted,2.0,,
ets_purchase,8.0,,
exempt,,7.0,
fill,8.0,,
fixed_cost,8.0,,
form,,2.0,
latter,7.0,,
monthly,8.0,,
pb,,2.0,
personnel,5.0,,
prescribed_class,,5.0,
rapid_charger,3.0,,
rate_set,,2.0,
recorded,2.0,,
remove,,3.0,
required_pay,,2.0,
scrap,,6.0,
sell_remove,,2.0,
specify,,3.0,
substituting,,5.0,
ticket,,4.0,
time_day,2.0,,
under,8.0,,
week,2.0,,
willingness_pay,10.0,,
windshield,8.0,,
